PID,Social Media Post,Normalized Claim
1911,image and not found,facebooks app will be automatically deleted from the google play store if it has a onestar rating
1273,satellites have observed clusters of contrails lasting as long as 14 hours though most remain visible for four to six hours,contrails disappear from the sky quickly so lines of cloud which last for hours are chemtrails
2579,extract from the peer reviewed paper in the british medical journal how much more proof do you want that the tests are a massive part of the problem here is a screenshot of the article in my earlier posti am no expert but i am capable of sharing what the experts say,a bmj article is proof that the use of Polymerase Chain Reaction tests are a massive part of the problem
2173,dear paytm customer your paytm kyc has been suspended paytm office ph 7679046492 ac will block within 24hr thank you,paytm kyc suspended and account will be blocked within 24 hours
681,we are aware there have been and will be rumours and false reports about the progress of the trial we urge people not to give these any credibility and not to circulate them we will not be offering a running commentary about the trial but all official updates will appear on this site,dr elisa granato one of the first participants in a United Kingdom covid19 vaccine trial has died
1555,first look 8 cheetahs from namibia flying in a special cargo plane have landed at the gwalior airport in madhya pradesh happybirthdaypmmodi wildlife,first look 8 cheetahs from namibia flying in a special cargo plane have landed at the gwalior airport in madhya pradesh happybirthdaypmmodi wildlife
2284,electionsvic have announced a historic partnership with wef to oversee and count the votes in the 2022 victorian state election with many other australian states reportedly expressing interest in their services for future elections,the world economic forum wef is running victorias state election
1777,the heat reacts with the chemicals in the plastic of the bottle which releases dioxin into the water dioxin is a chemical found in plastic which causes cancer and is highly poisonous to our bodies,drinking bottled water left in a car because cancer
1214,at the moment only 11 of people World Health Organization are asked to selfisolate by the National Health Service app are actually able to do so many of them not eligible for a oneoff payment to help them do that,research shows that only 11 of people selfisolate when asked to do so by National Health Service test and trace
220,finally a indian student from pondicherry university named ramu found a home remedy cure for covid19 which is for the very first time accepted by who he proved that by adding 1 tablespoon of black pepper powder to 2 table spoons of honey and some ginger juice for consecutive 5 days would suppress the effects of corona and eventually go away 100 entire world is starting to accept this remedy finally a good news in 2020 please circulate this information to all your family members and friends,a student from pondicherry university has found a home remedy for covid19 that has been accepted by world health organization who
602,mike pence caught on hot mic delivering empty boxes of ppe for a pr stunt,mike pence carried empty boxes of ppe into a medical facility as a publicity stunt
1079,we are grateful to full fact for bringing to our attention that the way the tweet was written could be misinterpreted and will be updating it,there are 11 million people in the United Kingdom World Health Organization are deaf or hard of hearing after a cancer diagnosis they are not able to receive the extra help they need
1504,not covid quarter of virus deaths were not caused by Coronavirus Disease as official figures show deadly bug was not primary because,a quarter of covid19 deaths were not caused by the virus
304,the science is not strong enough watch the moment an unvaccinated hospital consultant challenges health secretary sajid javid over the governments policy of compulsory Coronavirus Disease jabs for National Health Service staff sky 501 virgin 602 freeview 233 and youtube,antibodies from a previous covid19 infection are probably equivalent to someone World Health Organization has been vaccinated
53,we are going to celebrate our grand opening by doing something special for you we will be rewarding someone World Health Organization has shared then commented by february 13th with a 10 night stay for 2 people in a 4 all inclusive hotel do not worry about flights and transfers it is all included you will have 2 years to use the holiday,people World Health Organization share then comment on a facebook post will be given the chance to win a holiday
2424,unable to understand and translate the translator walks away rahul gandhi does it again,unable to understand and translate the translator walks away rahul gandhi does it again
1847,confirmed this week that this is still the position in brussels this interpretation of the law has been,scotland will have to leave the European Union whether or not it becomes independent
1619,we plan to cut all homeless people in half by 2025,we plan to cut all homeless people in half by 2025
1015,this is a horrible and very unfair situation the real crimes were on the other side as nothing happens to them cannot allow this miscarriage of justice,trump attack on former stone prosecutors ignores critical facts
1114,ronjohnsonwi called climate change bullshit during a record heatwave he is also raked in over 700k in fossil fuel cash and played an active role in trumps 2020 coup attempt he is as dirty as it gets dirtydozen wisen,says republican yous sen ron johnson called climate change bull during a record heatwave and raked in over 700k in fossil fuel cash
1392,turut berduka mendengar melihat dan mengetahui anakanak usia dini tibatiba terkena penyakit gagal ginjal misterius saya berpendapat 1000 semua itu diakibatkan oleh vaksin kovid laknatullah yang telah disuntikkan masuk kedalam jaringan darah pekerjaan setansetan laknatullah,Coronavirus Disease vaccine is damaging kidneys of indonesian children
345,jihadis culture,how long will a hindu beat for celebrating his teejfestival in for the first time in the history of bilaspur such cruelty attack on the hindus going to immerse maa durga from the road of bilaspur sadar bazar with sword sticks rods rods attack on the idol of maa durga stone pelting on hindus
840,tamilan style tea stall at london airport,tamilan style tea stall at london airport
1126,they went for the complete steal stay tuned on minnesota was stolen from scott jensen,minnesota was stolen from scott jensen
1513,you realize the ethylene oxide on the test swabs are a carcinogen keep testing and see what adverse reactions or cancer you get,Coronavirus Disease test swabs sterilized using ethylene oxide carcinogenic
1588,madam why are you stopping the police and the militaryare you sure that without them the filipinos will not be stubbornwhat do you want if the police and the military are removed are you sure that we can fight the covid19 how is that well we know that there are many filipinos World Health Organization do not follow the governmentyou work for the government you do not want to follow what if the ordinary people World Health Organization criticize and are stubborn phil healths money at least it can add more help to the people World Health Organization need help now,senator risa hontiveros said ridding the streets of police and military instead of providing financial assistance to the public is the right response to the coronavirus disease or covid19 pandemic
648,breaking former fbi agent on the ground at yous capitol just texted me and confirmed that at least 1 bus load of antifa thugs infiltrated peaceful trump demonstrators as part of a false trump flag ops,antifa members bused to the capitol for a falseflag operation
2474,looking forward to the fact check on this one,a social media post reads the unvaccinated are not dying we factchecked and found this claim to be mostly false
999,your doctor must see you in two weeks,your doctor must see you in two weeks
2403,a first lady trained to handle a gun ukrainian first lady olena zelenska is on the frontline fighting russian forces she is 44 years old rt paul shalala,an image shows ukraine first lady olena zelenska in uniform
1238,chamcho bernal mangwa lo ab cheetah bhi camera dekh ke pose dete hai according to some eminent scholars this latest picture has come from kunho sanctuary in madhya pradesh these are the cheetahs which have been brought to india from namibia by modi ji how these leopards are sitting like the three lions of ashoka the symbol of india,viral image of three cheetahs is of kuno national park
1536,the biden family was paid off pure and simple the fake news must stop making excuses for something that is totally inexcusable sleepy joe said he never spoke to the ukrainian company and then the picture came out where he was playing golf with the company boss and hunter,sleepy joe said he never spoke to the ukrainian company and then the picture came out where he was playing golf with the company boss and hunter
1466,haarp cloud then weeks later massive earthquakes and death unlockedmind flatearthfightclub,unique cloud in turkey is connected to haarp and earthquakes
1390,srk on social boycott of his films,shahrukh khan said he is not scared of social boycott of his films
1548,grand welcome of rahulgandhi ji bharatjodoyatra by the crowd in rajasthan bharatjodoyatra,grand welcome of rahulgandhi ji bharatjodoyatra by the crowd in rajasthan bharatjodoyatra
193,chris gayle will campaign for Bharatiya Janata Party,west indies cricketer chris gayle will be campaigning for Bharatiya Janata Party in the upcoming indian general elections2019
802,covid19 cases are rising in maltby if you have symptoms get tested as soon as possible stay safe by following the restrictions,a text message claiming to come from a gp practice warning about high local covid19 levels is false and a scam
175,from 9 am today a 30day campaign for mask checking will run in all the police stations of uttarakhand people of all cities and villages will use masks and avoid challan proceedings as well as a 10hour jail sentence released in the public interest by uttarakhand police,from 9 am today a 30day campaign for mask checking will run in all the police stations of uttarakhand people of all cities and villages will use masks and avoid challan proceedings as well as a 10hour jail sentence released in the public interest by uttarakhand police
86,under no circumstance should our disinfectant products be administered into the human body through injection ingestion or any other route,dettol antiseptic spray says it kills human coronavirus
1730,earlier today deputies were called to the ritzcarlton orlando grande lakes for a call about an unresponsive man in a hotel room the man was identified as robert saget pronounced deceased on scene detectives found no signs of foul play or drug use in this case bobsaget,says bob saget died from the covid19 vaccine
1848,the majority of these reports were in elderly people or people with underlying illness review of individual reports and patterns of reporting does not suggest the vaccine played a role in the death,covid19 vaccines are killing many people according to data on the vaers system
2226,watch every second of this aoc is so incredibly spot on,children in the south bronx are suffering from the highest rates of childhood asthma in the country
352,this data will allow the vaccines to move out of the phase 3 clinical trials and be granted full approval by the european medical agency as it currently only has temporary approval by the mhra,a poster from the mhra makes various claims about the vaccines and importance of yellow card reports
669,getty images,aam aadmi party chief and chief minister of delhi arvind kejriwal wore a bomb disposal suit
1717,former chief minister of gujarat vijay rupani ji himself removed the red light from his car such scenes make democracy great,former chief minister of gujarat vijay rupani ji himself removed the red light from his car such scenes make democracy great
129,dr judy mikovits may the world start listening to these brave and courageous doctors,the spike proteins generated by the body in response to the covid19 vaccines make people a ticking time bomb for cancer blood clots and other ailments
341,i want my death to happen only after rahul gandhi becomes prime minister,bn choudhary 10
8,did you know eating 2 onions daily helps increase immunity treat depression fight the common cold and flu being a potent natural antibiotic and it helps you sleep better,eating 2 slices of onions a day treat depression
1018,this is our socalled india is this the freedom of women similarly daughters are being killed in uttar pradesh,this is our socalled india is this the freedom of women similarly daughters are being killed in uttar pradesh
892,saudi is an islamic country,this picture is not of saudi or any islamic country but of a girls engineer degree college in kerala india we are also improving our afterlife
1608,breaking pakistani flag hoisted on republic day in purnea republic day 2023purneanews biharnews republicday2023,pakistans flag hoisted in bihars purnia
1279,today at sanpada stationbr,bikes skid at sanpada navi mumbai
308,joint election rally by incindia cpimwestbengal at brigade ground in kolkata,joint election rally by incindia cpimwestbengal at brigade ground in kolkata
813,the voting machines in arizona were not certified thusly the election in turn cannot be legally certified,the claim president joe biden signed an executive order to tear down the border wall built during the trump administration
638,may help with the possible negative affects sic,homeopathic nosodes could help with vaccine side effects
384,winner of 128 billion lottery gets 4337 million after tax congratulations to the irs on winning the 8463 million mega millions jackpot,the claim the irs would collect 846 million from the winner of a 128 billion lottery
1621,it is president biden World Health Organization is proposing to cut medicare advantage a program used by almost 4 in 10 arkansas seniors this would be a mistake,it is president biden World Health Organization is proposing to cut medicare advantage
2371,it is all over ukrainian army carried out the last operation that finished off the invading russians,the claim the war in ukraine is over
2607,saudi arabia players to get a rollsroyce each for defeating argentina wow,saudi arabia players to get a rollsroyce each for defeating argentina
1638,update on presidential directive on the evacuation of trucks and trailers off lagos bridges roads inner streets and free access to lagos ports apapaorder thread,claims on the federal government truck evacuation in apapa
178,strongly trending google since immediately after the second debate is can i change my vote this refers changing it to me the answer in most states is yes go do it most important election of your life,can i change my vote the answer in most states is yes
427,the fossil fuel industry wants to keep United States arguing about light bulbs and cheeseburgers while 70 of pollution comes from just three industries we need to focus on creating big structural change to tackle this climate crisis and the washington corruption headon climatetownhall,70 of the pollution of the carbon that we are throwing into the air comes from three industries
495,wacky glennbeck World Health Organization always seems to be crying worse than boehner speaks badly of me only because i refuse to do his showa real nut job,john boehner had been the speaker of the house until he was forced out in a tea party putsch in 2011
184,anyone know World Health Organization is responsible for this,covid19 claims shared on a led display driven around a number of locations in ireland about tests vaccines and masks
2808,we warned you illegals can now become police officers you cannot make this up,those in the country illegally can be police officers in california
1193,two terrorists caught by police with courage and intelligence at dahod railway station some people and employees of the railway administration were held hostage at gunpoint by the terrorists,two terrorists caught by police with courage and intelligence at dahod railway station some people and employees of the railway administration were held hostage at gunpoint by the terrorists
185,emergency medical intervention will be necessary in all cases to prevent certain death,amazon sprays all its packaging with toxic pesticides that can be harmful to cats
1432,mistakenly,two male commentators are banned from the wpl commentary box after one of them mistakenly said women hahaha after a player dropped a simple catch
2255,senate majority pac goes there on Doctor oz and the dog experiments story the democratic super pac says its beginning a multimillion dollar buy on the topic,a dog endured unimaginable pain and suffering during heart research experiments just one of 300 killed in dr mehmet ozs lab
2280,ktrtrs sabithareddy jntuhupdates telangana government is responsible for her death rip sunitha,sunitha a student from telangana World Health Organization ended her life due to nonpostponement of btech exams
2059,Coronavirus Disease breakthrough as wonder statins cut risk of death,taking statins cuts the risk of dying of covid19
